Cat‚gorie,Nom,Url
site,Le p'ptit forest ‚dition sp‚ciale mars 2023,https://example.com/le-p'tit-forest
site,Le maitron,https://fusilles-40-44.maitron.fr/?article167694
site,M‚moire 14-45,https://www.memoire14-45.eu/fr/80ansfusilles-fortlobau/14-decembre-1943-execution-de-rene-ruelle-au-fort-de-bondues
site,Avesnois tourisme,https://www.tourisme-avesnois.com/sejour-avesnois-ardennes/6323870_memorial-rene-ruelle/
media,Ceux du maquis,https://www.youtube.com/watch?v=w3WZDUnPxsw
